Modelo,Accuracy,Precision,Recall,F1,ROC_AUC,PR_AUC
Random Forest,0.7932237464522233,0.3604404567699837,0.6251237798840006,0.45724041595530035,0.8210532493497362,0.41569379383822413
XGBoost,0.7207111321349732,0.3062059931226461,0.7936058848493422,0.4419062623079953,0.8266253247277702,0.42258077790195453
Regresión Logística,0.7316304005045727,0.3108131537883604,0.7607865327486207,0.44132611193172494,0.8196422342353251,0.3926319320097101
KNN,0.8456322926521602,0.39807640929735505,0.21077945961239214,0.27561968183499813,0.7170295045008176,0.2895810403677732
