,precision,recall,f1-score,support
Sin diabetes,0.9738728692050342,0.5599651911054114,0.7110723373318794,43667.0
Prediabetes / Diabetes,0.25023411893241765,0.9072004526807186,0.39226840382909745,7069.0
accuracy,0.6083451592557553,0.6083451592557553,0.6083451592557553,0.6083451592557553
macro avg,0.6120534940687259,0.733582821893065,0.5516703705804884,50736.0
weighted avg,0.873048950770843,0.6083451592557553,0.6666536798513693,50736.0
