,precision,recall,f1-score,support
Sin diabetes,0.9311258966628547,0.8204364852176701,0.8722837003761733,43667.0
Prediabetes / Diabetes,0.3604404567699837,0.6251237798840006,0.45724041595530035,7069.0
accuracy,0.7932237464522233,0.7932237464522233,0.7932237464522233,0.7932237464522233
macro avg,0.6457831767164193,0.7227801325508354,0.6647620581657369,50736.0
weighted avg,0.8516128216352077,0.7932237464522233,0.8144561030572843,50736.0
