,precision,recall,f1-score,support
Sin diabetes,0.9546813823719826,0.7091625254769047,0.8138074214233154,43667.0
Prediabetes / Diabetes,0.305973003989289,0.7920497948790494,0.44142226426994635,7069.0
accuracy,0.7207111321349732,0.7207111321349732,0.7207111321349732,0.7207111321349732
macro avg,0.6303271931806358,0.750606160177977,0.6276148428466308,50736.0
weighted avg,0.8642974434176453,0.7207111321349732,0.761923341560552,50736.0
